vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
050824_Cam2_TrNum11_Coop_EB001R-EB027Y,050824_EB001R-031B-027Y_TimeOut_CNO,multi,test,True,EB001R-EB027Y,0.161914011538573,0.1661757458034963,True,0.0015046531180239,True,True,coop,UF,False,transparent
050824_Cam3_TrNum7_Coop_EB007R-EB003B,050824_EB007R-005Y-003B_TimeOut_CNO,multi,test,True,EB007R-EB003B,0.1123023926511429,0.1174108096560564,True,0.0019814142277291,True,True,coop,UF,False,transparent
050824_Cam1_TrNum11_Coop_EB015R-EB009B,050824_EB015R-011Y-009B_TimeOut_CNO,multi,test,True,EB015R-EB009B,0.0449128233269312,0.0462398044448878,True,0.0008493178020004,True,True,coop,UF,False,transparent
050824_Cam4_TrNum12_Coop_EB021R-EB019Y,050824_EB021R-023B-019Y_TimeOut_CNO,multi,test,True,EB021R-EB019Y,0.1816702790200005,0.1866580701802518,True,0.0136725287387857,True,True,coop,UF,False,transparent
051024_Cam2_TrNum12_Coop_EB005Y-EB003B,051024_EB005Y-007R-003B_TimeOut_CNO,multi,test,True,EB005Y-EB003B,0.1002869253342028,0.1014802738832735,True,0.0009928268666449,True,True,coop,UF,False,transparent
051024_Cam3_TrNum7_Coop_EB011Y-EB009B,051024_EB011Y-015R-009B_TimeOut_CNO,multi,test,True,EB011Y-EB009B,0.0910597470562581,0.0960259485390318,True,0.0007441125163541,True,True,coop,UF,False,transparent
051024_Cam1_TrNum12_Coop_EB023B-EB019Y,051024_EB023B-021R-019Y_TimeOut_CNO,multi,test,True,EB023B-EB019Y,0.1027785024784763,0.1050482650665275,True,0.0018409209496477,True,True,coop,UF,False,transparent
051024_Cam4_TrNum8_Coop_EB031B-EB027Y,051024_EB031B-001R-027Y_TimeOut_CNO,multi,test,True,EB031B-EB027Y,0.1177542016806722,0.1207731092436974,True,0.0022678571428571,True,True,coop,UF,False,transparent
051324_Cam2_TrNum11_Coop_EB007R-EB009B,051324_EB007R-005Y-009B_TimeOut_VEH,multi,test,True,EB007R-EB009B,0.0920699471329808,0.0930917039446929,True,0.002620475803172,True,True,coop,UF,False,transparent
051324_Cam3_TrNum12_Coop_EB015R-EB003B,051324_EB015R-011Y-003B_TimeOut_VEH,multi,test,True,EB015R-EB003B,0.0768257523904341,0.0822558231182461,True,0.000803725136374,True,True,coop,UF,False,transparent
051324_Cam4_TrNum9_Coop_EB021R-EB027Y,051324_EB021R-023B-027Y_TimeOut_VEH,multi,test,True,EB021R-EB027Y,0.2049294895794334,0.2157369274928241,True,0.0038612255085486,True,True,coop,UF,False,transparent
051424_Cam1_TrNum7_Coop_EB011Y-EB003B,051424_EB011Y-015R-003B_TimeOut_VEH,multi,test,True,EB011Y-EB003B,0.1870943798854173,0.2074014798320692,True,0.0026558114721777,True,True,coop,UF,False,transparent
051424_Cam2_TrNum10_Coop_EB023B-EB027Y,051424_EB023B-021R-027Y_TimeOut_VEH,multi,test,True,EB023B-EB027Y,0.0559926096502972,0.0575536871418625,True,0.0007028865206447,True,True,coop,UF,False,transparent
051424_Cam3_TrNum7_Coop_EB031B-EB033Y,051424_EB031B-001R-033Y_TimeOut_VEH,multi,test,True,EB031B-EB033Y,0.0641875629075314,0.0659161524659752,True,0.0011804735022537,True,True,coop,UF,False,transparent
051524_Cam1_TrNum7_Coop_EB001R-EB019Y,051524_EB001R-031B-019Y_TimeOut_VEH,multi,test,True,EB001R-EB019Y,0.1577806094900758,0.1613485669855942,True,0.0049664154121941,True,True,coop,UF,False,transparent
051524_Cam2_TrNum11_Coop_EB007R-EB027Y,051524_EB007R-005Y-027Y_TimeOut_VEH,multi,test,True,EB007R-EB027Y,0.1342124175858513,0.1395212948786051,True,0.0022310408399212,True,True,coop,UF,False,transparent
051524_Cam3_TrNum12_Coop_EB015R-EB033Y,051524_EB015R-011Y_033Y_TimeOut_VEH,multi,test,True,EB015R-EB033Y,0.174690162664601,0.1794818831224718,True,0.0082386608141836,True,True,coop,UF,False,transparent
051524_Cam4_TrNum9_Coop_EB021R-EB009B,051524_EB021R-023B-009B_TimeOut_VEH,multi,test,True,EB021R-EB009B,0.1015115115115115,0.103571071071071,True,0.002595095095095,True,True,coop,UF,False,transparent
052024_Cam1_TrNum7_Coop_EB011Y-EB017B,052024_EB011Y-015R-017B_TimeOut_VEH_BAD,multi,test,True,EB011Y-EB017B,0.221642948674715,0.245657696544592,True,0.00482228367168,True,True,coop,UF,False,transparent
052024_Cam3_TrNum7_Coop_EB031B-EB019Y,052024_EB031B-001R-EB019Y_TimeOut_VEH_BAD,multi,test,True,EB031B-EB019Y,0.1343152454780361,0.1371441411077407,True,0.0029030446017301,True,True,coop,UF,False,transparent
052124_Cam3_TrNum8_Coop_EB001R-EB003B,052124_EB001R-031B-003B_TimeOut_CNO,multi,test,True,EB001R-EB003B,0.0851713199782813,0.0903695024719229,True,0.001631754922413,True,True,coop,UF,False,transparent
052124_Cam1_TrNum7_Coop_EB007R-EB023B,052124_EB007R-005Y-023B_TimeOut_CNO,multi,test,True,EB007R-EB023B,0.104391568992404,0.1059308818351023,True,0.0018474269329443,True,True,coop,UF,False,transparent
