TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
1,1,0.89,3,,0.87,,0,1,0,KL005B-KL005Y,1.25,0.0
1,1,1.2,3,,1.18,,0,-1,0,KL005B-KL005Y,1.25,0.0
1,1,1.38,3,,1.36,,0,-1,0,KL005B-KL005Y,1.25,0.0
2,1,11.35,3,12.97,0.69,11.63,1,1,0,KL005B-KL005Y,1.25,0.0
2,2,11.61,3,12.97,0.949999999999999,11.63,1,1,1,KL005B-KL005Y,1.25,1.0
2,1,11.64,3,12.97,0.98,11.63,1,-2,0,KL005B-KL005Y,1.25,0.0
2,1,11.82,3,12.97,1.16,11.63,1,-2,0,KL005B-KL005Y,1.25,0.0
2,2,11.84,3,12.97,1.18,11.63,1,-2,0,KL005B-KL005Y,1.25,1.0
2,2,12.09,3,12.97,1.43,11.63,1,-2,0,KL005B-KL005Y,1.25,1.0
3,1,24.85,3,26.73,0.640000000000001,25.09,1,1,0,KL005B-KL005Y,1.25,0.0
3,1,25.06,3,26.73,0.849999999999998,25.09,1,-1,0,KL005B-KL005Y,1.25,0.0
3,2,25.06,3,26.73,0.849999999999998,25.09,1,1,1,KL005B-KL005Y,1.25,1.0
4,1,36.32,3,38.99,0.719999999999999,37.4,1,1,0,KL005B-KL005Y,1.25,0.0
4,1,36.72,3,38.99,1.12,37.4,1,-1,0,KL005B-KL005Y,1.25,0.0
4,2,37.39,3,38.99,1.79,37.4,1,1,1,KL005B-KL005Y,1.25,1.0
5,1,46.05,3,48.42,0.729999999999997,46.83,1,1,0,KL005B-KL005Y,1.25,0.0
5,1,46.54,3,48.42,1.22,46.83,1,-1,0,KL005B-KL005Y,1.25,0.0
5,2,46.81,3,48.42,1.49,46.83,1,1,1,KL005B-KL005Y,1.25,1.0
5,1,46.89,3,48.42,1.57,46.83,1,-2,0,KL005B-KL005Y,1.25,0.0
6,2,59.72,3,61.25,0.879999999999995,59.76,1,1,0,KL005B-KL005Y,1.25,1.0
6,1,59.73,3,61.25,0.889999999999993,59.76,1,1,1,KL005B-KL005Y,1.25,0.0
6,2,59.9,3,61.25,1.06,59.76,1,-2,0,KL005B-KL005Y,1.25,1.0
6,2,60.08,3,61.25,1.23999999999999,59.76,1,-2,0,KL005B-KL005Y,1.25,1.0
6,1,60.22,3,61.25,1.38,59.76,1,-2,0,KL005B-KL005Y,1.25,0.0
6,1,60.49,3,61.25,1.65,59.76,1,-2,0,KL005B-KL005Y,1.25,0.0
7,2,72.43,3,74.69,0.920000000000002,72.75,1,1,0,KL005B-KL005Y,1.25,1.0
7,1,72.74,3,74.69,1.22999999999999,72.75,1,1,1,KL005B-KL005Y,1.25,0.0
7,2,73.02,3,74.69,1.50999999999999,72.75,1,-2,0,KL005B-KL005Y,1.25,1.0
7,1,73.43,3,74.69,1.92,72.75,1,-2,0,KL005B-KL005Y,1.25,0.0
8,1,86.48,3,89.3,0.710000000000008,87.76,1,1,0,KL005B-KL005Y,1.25,0.0
8,1,87.35,3,89.3,1.58,87.76,1,-1,0,KL005B-KL005Y,1.25,0.0
8,2,87.74,3,89.3,1.97,87.76,1,1,1,KL005B-KL005Y,1.25,1.0
8,2,88.24,3,89.3,2.47,87.76,1,-2,0,KL005B-KL005Y,1.25,1.0
9,1,97.94,3,100.64,0.969999999999999,98.5,1,1,0,KL005B-KL005Y,1.25,0.0
9,1,98.41,3,100.64,1.44,98.5,1,-1,0,KL005B-KL005Y,1.25,0.0
9,2,98.48,3,100.64,1.51000000000001,98.5,1,1,1,KL005B-KL005Y,1.25,1.0
9,1,98.88,3,100.64,1.91,98.5,1,-2,0,KL005B-KL005Y,1.25,0.0
10,2,111.09,3,113.43,1.03,111.39,1,1,0,KL005B-KL005Y,1.25,1.0
10,2,111.21,3,113.43,1.14999999999999,111.39,1,-1,0,KL005B-KL005Y,1.25,1.0
10,1,111.38,3,113.43,1.31999999999999,111.39,1,1,1,KL005B-KL005Y,1.25,0.0
10,1,111.69,3,113.43,1.63,111.39,1,-2,0,KL005B-KL005Y,1.25,0.0
10,2,111.96,3,113.43,1.89999999999999,111.39,1,-2,0,KL005B-KL005Y,1.25,1.0
11,1,123.9,3,127.05,0.719999999999999,124.96,1,1,0,KL005B-KL005Y,1.25,0.0
11,2,124.95,3,127.05,1.77,124.96,1,1,1,KL005B-KL005Y,1.25,1.0
11,1,124.97,3,127.05,1.78999999999999,124.96,1,-2,0,KL005B-KL005Y,1.25,0.0
11,2,125.15,3,127.05,1.97,124.96,1,-2,0,KL005B-KL005Y,1.25,1.0
11,1,125.18,3,127.05,2.0,124.96,1,-2,0,KL005B-KL005Y,1.25,0.0
12,1,138.06,3,140.31,0.680000000000007,138.82,1,1,0,KL005B-KL005Y,1.25,0.0
12,2,138.81,3,140.31,1.43000000000001,138.82,1,1,1,KL005B-KL005Y,1.25,1.0
12,2,138.94,3,140.31,1.56,138.82,1,-2,0,KL005B-KL005Y,1.25,1.0
12,2,139.16,3,140.31,1.78,138.82,1,-2,0,KL005B-KL005Y,1.25,1.0
12,1,139.21,3,140.31,1.83000000000001,138.82,1,-2,0,KL005B-KL005Y,1.25,0.0
13,2,151.84,3,154.36,0.860000000000014,152.22,1,1,0,KL005B-KL005Y,1.25,1.0
13,1,152.2,3,154.36,1.22,152.22,1,1,1,KL005B-KL005Y,1.25,0.0
13,1,152.56,3,154.36,1.58000000000001,152.22,1,-2,0,KL005B-KL005Y,1.25,0.0
14,1,163.41,0,,1.65000000000001,,0,1,0,KL005B-KL005Y,1.25,0.0
14,1,164.35,0,,2.59,,0,-1,0,KL005B-KL005Y,1.25,0.0
14,2,164.68,0,,2.92000000000002,,0,1,1,KL005B-KL005Y,1.25,1.0
14,1,165.22,0,,3.46000000000001,,0,-2,0,KL005B-KL005Y,1.25,0.0
15,1,173.31,0,,0.710000000000008,,0,1,0,KL005B-KL005Y,1.25,0.0
15,1,173.63,0,,1.03,,0,-1,0,KL005B-KL005Y,1.25,0.0
15,1,173.78,0,,1.18000000000001,,0,-1,0,KL005B-KL005Y,1.25,0.0
15,1,174.41,0,,1.81,,0,-1,0,KL005B-KL005Y,1.25,0.0
15,1,174.77,0,,2.17000000000002,,0,-1,0,KL005B-KL005Y,1.25,0.0
15,1,175.03,0,,2.43000000000001,,0,-1,0,KL005B-KL005Y,1.25,0.0
16,2,181.22,0,,1.02000000000001,,0,1,0,KL005B-KL005Y,1.25,1.0
