TrialNum,MagNum,AbsTime,Duration,TrialCond,DispTime,TrialTime,Hit,TrialEnd,RatID
1,2.0,5.01,0.0,,,,0.0,0.0,0.0
1,1.0,7.47,0.0,,,,0.0,0.0,0.0
1,1.0,9.35,0.0,,,,0.0,0.0,0.0
3,2.0,22.8,0.0,3.0,20.77,2.03,1.0,0.0,
3,1.0,23.36,0.0100000000000016,3.0,20.77,2.59,1.0,1.0,1.0
4,2.0,34.43,0.0,3.0,33.87,0.560000000000002,1.0,0.0,0.0
4,1.0,35.27,0.0,3.0,33.87,1.40000000000001,1.0,1.0,1.0
5,2.0,46.77,0.0,3.0,45.77,1.0,1.0,0.0,0.0
5,1.0,47.25,0.0,3.0,45.77,1.48,1.0,1.0,1.0
6,2.0,58.93,0.0,3.0,58.55,0.380000000000003,1.0,0.0,0.0
6,1.0,59.67,0.0,3.0,58.55,1.12,1.0,1.0,1.0
7,2.0,70.38,0.0,3.0,69.51,0.86999999999999,1.0,0.0,0.0
7,1.0,70.62,0.0,3.0,69.51,1.11,1.0,1.0,1.0
8,2.0,82.74,0.0,3.0,81.63,1.11,1.0,0.0,0.0
8,1.0,83.96,0.0,3.0,81.63,2.33,1.0,1.0,1.0
9,,,,,93.1,,,,
9,,,,,93.1,,,,
10,2.0,106.6,0.0,3.0,105.72,0.879999999999995,1.0,0.0,0.0
10,2.0,108.67,0.0799999999999983,3.0,105.72,2.95,-2.0,0.0,
10,1.0,109.01,0.0,3.0,105.72,3.29000000000001,1.0,1.0,1.0
11,1.0,120.97,0.0100000000000051,3.0,118.47,2.5,1.0,0.0,1.0
11,1.0,121.31,0.0,3.0,118.47,2.84,-2.0,0.0,1.0
11,2.0,121.48,0.0,3.0,118.47,3.01000000000001,1.0,1.0,
12,,,,,130.66,,,,
13,1.0,175.53,0.0,3.0,174.2,1.33000000000001,1.0,0.0,1.0
13,2.0,177.9,0.0,3.0,174.2,3.70000000000002,1.0,1.0,
14,,,,,186.9,,,,
14,,,,,186.9,,,,
15,2.0,199.98,0.0,3.0,198.68,1.29999999999998,1.0,0.0,0.0
15,1.0,200.96,0.0,3.0,198.68,2.28,1.0,1.0,1.0
16,1.0,231.26,0.0,3.0,212.11,19.15,1.0,0.0,1.0
16,1.0,233.47,0.0,3.0,212.11,21.36,-2.0,0.0,
16,1.0,242.37,0.0,3.0,212.11,30.26,-2.0,0.0,0.0
16,2.0,271.25,0.0099999999999909,3.0,212.11,59.14,1.0,1.0,0.0
21,2.0,282.79,0.0,3.0,282.55,0.240000000000009,1.0,0.0,0.0
21,1.0,283.21,0.0200000000000387,3.0,282.55,0.659999999999968,1.0,1.0,1.0
21,1.0,285.36,0.0099999999999909,3.0,282.55,2.81,-1.0,0.0,1.0
22,,,,,294.4,,,,
23,2.0,308.05,0.0,3.0,307.04,1.00999999999999,1.0,0.0,0.0
23,1.0,308.21,0.0,3.0,307.04,1.16999999999996,1.0,1.0,1.0
