TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
1,1,0.96,3,,0.94,,0,1,0,KL007G-KL007Y,1.25,
1,1,1.09,3,,1.07,,0,-1,0,KL007G-KL007Y,1.25,
1,1,1.34,3,,1.32,,0,-1,0,KL007G-KL007Y,1.25,1.0
2,1,13.01,3,15.02,0.77,13.73,1,1,0,KL007G-KL007Y,1.25,
2,1,13.47,3,15.02,1.23,13.73,1,-1,0,KL007G-KL007Y,1.25,
2,1,13.69,3,15.02,1.45,13.73,1,-1,0,KL007G-KL007Y,1.25,
2,2,13.71,3,15.02,1.47,13.73,1,1,1,KL007G-KL007Y,1.25,0.0
2,2,23.55,3,15.02,11.31,13.73,1,-2,0,KL007G-KL007Y,1.25,1.0
2,2,23.71,3,15.02,11.47,13.73,1,-2,0,KL007G-KL007Y,1.25,0.0
3,2,24.9,3,26.83,0.75,25.04,1,1,0,KL007G-KL007Y,1.25,
3,1,25.02,3,26.83,0.870000000000001,25.04,1,1,1,KL007G-KL007Y,1.25,
3,2,25.3,3,26.83,1.15,25.04,1,-2,0,KL007G-KL007Y,1.25,0.0
3,2,25.37,3,26.83,1.22,25.04,1,-2,0,KL007G-KL007Y,1.25,
4,1,35.85,3,37.93,0.800000000000004,35.89,1,1,0,KL007G-KL007Y,1.25,
4,2,35.87,3,37.93,0.82,35.89,1,1,1,KL007G-KL007Y,1.25,0.0
4,2,54.42,3,37.93,19.37,35.89,1,-2,0,KL007G-KL007Y,1.25,1.0
4,2,54.7,3,37.93,19.65,35.89,1,-2,0,KL007G-KL007Y,1.25,
4,2,54.83,3,37.93,19.78,35.89,1,-2,0,KL007G-KL007Y,1.25,0.0
5,2,60.7,0,,0.530000000000001,,0,1,0,KL007G-KL007Y,1.25,1.0
5,2,60.84,0,,0.670000000000002,,0,-1,0,KL007G-KL007Y,1.25,1.0
5,2,61.12,0,,0.949999999999996,,0,-1,0,KL007G-KL007Y,1.25,0.0
5,2,62.24,0,,2.07,,0,-1,0,KL007G-KL007Y,1.25,0.0
6,1,69.3,0,,1.00999999999999,,0,1,0,KL007G-KL007Y,1.25,
6,1,69.49,0,,1.19999999999999,,0,-1,0,KL007G-KL007Y,1.25,0.0
6,1,70.13,0,,1.83999999999999,,0,-1,0,KL007G-KL007Y,1.25,
6,1,70.33,0,,2.03999999999999,,0,-1,0,KL007G-KL007Y,1.25,
6,1,70.5,0,,2.20999999999999,,0,-1,0,KL007G-KL007Y,1.25,
6,1,70.79,0,,2.5,,0,-1,0,KL007G-KL007Y,1.25,0.0
6,2,75.72,0,,7.42999999999999,,0,1,1,KL007G-KL007Y,1.25,0.0
6,2,75.89,0,,7.59999999999999,,0,-2,0,KL007G-KL007Y,1.25,0.0
6,2,76.09,0,,7.8,,0,-2,0,KL007G-KL007Y,1.25,1.0
7,2,76.23,0,,0.0400000000000063,,0,1,0,KL007G-KL007Y,1.25,1.0
7,2,76.55,0,,0.359999999999999,,0,-1,0,KL007G-KL007Y,1.25,1.0
7,2,76.72,0,,0.530000000000001,,0,-1,0,KL007G-KL007Y,1.25,1.0
7,2,78.33,0,,2.14,,0,-1,0,KL007G-KL007Y,1.25,0.0
