TrialNum,MagNum,AbsTime,Duration,TrialCond,DispTime,TrialTime,Hit,TrialEnd,RatID
1,2.0,14.69,0.0099999999999997,,,,0.0,0.0,
1,1.0,14.72,0.0099999999999997,,,,0.0,0.0,
1,2.0,25.69,0.0,,,,0.0,0.0,
5,,,,,54.54,,,,
6,,,,,65.55,,,,
7,,,,,74.42,,,,
9,,,,,93.06,,,,
10,,,,,104.42,,,,
11,,,,,114.77,,,,
12,,,,,126.62,,,,
13,1.0,139.88,0.0,3.0,137.23,2.65000000000001,1.0,0.0,
13,2.0,149.83,0.0,3.0,137.23,12.6,1.0,1.0,0.0
16,1.0,197.75,0.0,3.0,179.68,18.07,1.0,0.0,
16,2.0,209.73,0.0100000000000193,3.0,179.68,30.05,1.0,1.0,
16,1.0,215.91,0.0300000000000011,3.0,179.68,36.23,-1.0,0.0,
20,2.0,235.07,0.0100000000000193,3.0,220.16,14.91,1.0,0.0,
20,1.0,243.93,0.0,3.0,220.16,23.77,1.0,1.0,
23,1.0,269.71,0.0,3.0,250.58,19.13,1.0,0.0,
23,2.0,276.31,0.0,3.0,250.58,25.73,1.0,1.0,
23,2.0,282.57,0.0,3.0,250.58,31.99,-1.0,0.0,
23,2.0,288.21,0.0,3.0,250.58,37.63,-1.0,0.0,
23,1.0,291.5,0.0,3.0,250.58,40.92,-1.0,0.0,
29,2.0,326.33,0.0,3.0,325.56,0.769999999999982,1.0,0.0,0.0
29,1.0,327.4,0.0100000000000477,3.0,325.56,1.83999999999997,1.0,1.0,
29,1.0,338.65,0.0,3.0,325.56,13.09,-1.0,0.0,
31,,,,,345.86,,,,
32,,,,,357.36,,,,
34,1.0,377.33,0.0,3.0,376.32,1.00999999999999,1.0,0.0,
34,2.0,377.86,0.0099999999999909,3.0,376.32,1.54000000000002,1.0,1.0,
34,2.0,387.59,0.0,3.0,376.32,11.27,-1.0,0.0,0.0
37,1.0,408.64,0.0,3.0,407.6,1.03999999999996,1.0,0.0,
37,2.0,409.71,0.0,3.0,407.6,2.10999999999996,1.0,1.0,
37,2.0,429.9,0.0100000000000477,3.0,407.6,22.3,-1.0,0.0,
37,2.0,432.61,0.0,3.0,407.6,25.01,-1.0,0.0,1.0
43,1.0,473.62,0.0,3.0,473.32,0.300000000000011,1.0,0.0,
43,2.0,504.17,0.0,3.0,473.32,30.85,1.0,1.0,
48,1.0,525.46,0.0,3.0,523.15,2.31000000000006,1.0,0.0,
48,2.0,542.35,0.0,3.0,523.15,19.2,1.0,1.0,
48,2.0,556.34,0.0,3.0,523.15,33.1900000000001,-1.0,0.0,
48,2.0,574.7,0.0,3.0,523.15,51.5500000000001,-1.0,0.0,
48,2.0,576.2,0.0,3.0,523.15,53.0500000000001,-1.0,0.0,
53,,,,,586.3,,,,
54,,,,,600.22,,,,
55,,,,,610.87,,,,
56,,,,,623.68,,,,
56,,,,,623.68,,,,
57,1.0,649.84,0.0099999999999909,3.0,649.45,0.389999999999986,1.0,0.0,
57,2.0,651.42,0.0,3.0,649.45,1.96999999999991,1.0,1.0,
59,1.0,674.74,0.0099999999999909,3.0,674.2,0.539999999999964,1.0,0.0,
59,2.0,675.59,0.0,3.0,674.2,1.38999999999999,1.0,1.0,
61,1.0,699.79,0.0,3.0,699.05,0.740000000000009,1.0,0.0,
61,2.0,700.54,0.0,3.0,699.05,1.49000000000001,1.0,1.0,
64,1.0,733.96,0.0,3.0,733.37,0.590000000000032,1.0,0.0,
64,2.0,734.18,0.0,3.0,733.37,0.809999999999945,1.0,1.0,
64,2.0,767.15,0.0,3.0,733.37,33.78,-1.0,0.0,
64,2.0,824.26,0.0,3.0,733.37,90.89,-1.0,0.0,
64,2.0,826.96,0.0,3.0,733.37,93.59,-1.0,0.0,
73,1.0,836.38,0.0,3.0,835.62,0.759999999999991,1.0,0.0,
73,2.0,836.88,0.0099999999999909,3.0,835.62,1.25999999999999,1.0,1.0,
