TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID
1,1,11.51,3,,1.5,,0,1,0,KL007Y-KL007G,
1,1,11.73,3,,1.72,,0,-1,0,KL007Y-KL007G,
1,1,11.93,3,,1.92,,0,-1,0,KL007Y-KL007G,
1,2,12.33,3,,2.32,,0,1,1,KL007Y-KL007G,1.0
1,1,12.37,3,,2.36,,0,-2,0,KL007Y-KL007G,0.0
2,1,23.45,0,,0.82,,0,1,0,KL007Y-KL007G,0.0
2,1,23.91,0,,1.28,,0,-1,0,KL007Y-KL007G,0.0
2,1,24.22,0,,1.59,,0,-1,0,KL007Y-KL007G,0.0
2,1,24.81,0,,2.18,,0,-1,0,KL007Y-KL007G,0.0
3,1,33.9,0,,1.0,,0,1,0,KL007Y-KL007G,0.0
3,1,34.35,0,,1.45,,0,-1,0,KL007Y-KL007G,0.0
3,1,34.83,0,,1.93,,0,-1,0,KL007Y-KL007G,0.0
3,1,35.45,0,,2.55,,0,-1,0,KL007Y-KL007G,0.0
4,1,42.81,0,,0.760000000000005,,0,1,0,KL007Y-KL007G,0.0
4,1,43.47,0,,1.42,,0,-1,0,KL007Y-KL007G,0.0
4,1,43.78,0,,1.73,,0,-1,0,KL007Y-KL007G,0.0
5,2,53.13,3,54.54,0.670000000000002,53.27,1,1,0,KL007Y-KL007G,1.0
5,1,53.25,3,54.54,0.789999999999999,53.27,1,1,1,KL007Y-KL007G,0.0
5,2,53.26,3,54.54,0.799999999999997,53.27,1,-2,0,KL007Y-KL007G,1.0
5,2,53.38,3,54.54,0.920000000000002,53.27,1,-2,0,KL007Y-KL007G,1.0
5,2,53.7,3,54.54,1.24,53.27,1,-2,0,KL007Y-KL007G,1.0
6,1,64.1,3,65.55,0.799999999999997,64.18,1,1,0,KL007Y-KL007G,0.0
6,2,64.16,3,65.55,0.859999999999999,64.18,1,1,1,KL007Y-KL007G,1.0
