TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID
1,2,15.86,0,,5.85,,0,1,0,KL006G-KL006R,1
1,2,16.11,0,,6.1,,0,-1,0,KL006G-KL006R,1
1,2,16.4,0,,6.39,,0,-1,0,KL006G-KL006R,1
1,2,17.06,0,,7.05,,0,-1,0,KL006G-KL006R,1
2,2,26.96,0,,1.25,,0,1,0,KL006G-KL006R,1
2,2,27.29,0,,1.58,,0,-1,0,KL006G-KL006R,1
2,2,28.31,0,,2.6,,0,-1,0,KL006G-KL006R,1
3,2,39.42,3,41.86,4.01000000000001,40.04,1,1,0,KL006G-KL006R,1
3,2,39.87,3,41.86,4.46,40.04,1,-1,0,KL006G-KL006R,1
3,1,40.03,3,41.86,4.62,40.04,1,1,1,KL006G-KL006R,0
4,1,53.47,0,,0.699999999999996,,0,1,0,KL006G-KL006R,0
4,1,54.42,0,,1.65,,0,-1,0,KL006G-KL006R,0
4,1,54.76,0,,1.98999999999999,,0,-1,0,KL006G-KL006R,0
5,1,60.54,0,,0.619999999999997,,0,1,0,KL006G-KL006R,1
5,1,60.67,0,,0.75,,0,-1,0,KL006G-KL006R,1
6,2,72.22,3,73.83,0.629999999999995,72.26,1,1,0,KL006G-KL006R,1
6,1,72.23,3,73.83,0.640000000000001,72.26,1,1,1,KL006G-KL006R,0
6,2,72.31,3,73.83,0.719999999999999,72.26,1,-2,0,KL006G-KL006R,1
6,1,72.98,3,73.83,1.39,72.26,1,-2,0,KL006G-KL006R,0
6,1,79.46,3,73.83,7.86999999999999,72.26,1,-2,0,KL006G-KL006R,0
6,1,79.76,3,73.83,8.17,72.26,1,-2,0,KL006G-KL006R,0
6,1,82.85,3,73.83,11.26,72.26,1,-2,0,KL006G-KL006R,0
6,1,82.95,3,73.83,11.36,72.26,1,-2,0,KL006G-KL006R,0
7,2,84.16,3,85.46,0.719999999999999,84.34,1,1,0,KL006G-KL006R,1
7,1,84.31,3,85.46,0.870000000000005,84.34,1,1,1,KL006G-KL006R,0
8,2,97.91,3,99.66,0.649999999999991,97.99,1,1,0,KL006G-KL006R,1
8,1,97.98,3,99.66,0.719999999999999,97.99,1,1,1,KL006G-KL006R,0
8,2,98.41,3,99.66,1.14999999999999,97.99,1,-2,0,KL006G-KL006R,1
9,2,111.39,3,113.51,0.730000000000004,111.49,1,1,0,KL006G-KL006R,1
9,1,111.46,3,113.51,0.799999999999997,111.49,1,1,1,KL006G-KL006R,0
10,1,124.94,3,126.35,0.640000000000001,124.98,1,1,0,KL006G-KL006R,0
10,2,124.94,3,126.35,0.640000000000001,124.98,1,1,1,KL006G-KL006R,1
10,1,125.2,3,126.35,0.900000000000006,124.98,1,-2,0,KL006G-KL006R,0
11,1,136.98,3,139.15,0.560000000000002,137.08,1,1,0,KL006G-KL006R,0
11,2,137.06,3,139.15,0.640000000000015,137.08,1,1,1,KL006G-KL006R,1
11,2,137.14,3,139.15,0.719999999999999,137.08,1,-2,0,KL006G-KL006R,1
12,1,148.68,3,149.84,0.670000000000016,148.72,1,1,0,KL006G-KL006R,0
12,2,148.69,3,149.84,0.680000000000007,148.72,1,1,1,KL006G-KL006R,1
12,1,148.81,3,149.84,0.800000000000011,148.72,1,-2,0,KL006G-KL006R,0
13,2,158.25,3,159.67,0.590000000000003,158.45,1,1,0,KL006G-KL006R,1
13,1,158.42,3,159.67,0.759999999999991,158.45,1,1,1,KL006G-KL006R,0
14,1,168.69,3,170.91,0.639999999999986,169.59,1,1,0,KL006G-KL006R,0
14,1,168.79,3,170.91,0.739999999999981,169.59,1,-1,0,KL006G-KL006R,0
14,1,169.05,3,170.91,1.0,169.59,1,-1,0,KL006G-KL006R,0
