session_id,trial_number,date,rat_pair,familiarity,barrier_transparency,time_begin,time_first_press,time_coop_or_last_press,time_first_mag_entry,time_trial_end,all_time_sections_valid,successes_in_row,success,trial_frames,lever_press_exists,percent_gazing_original,percent_gazing,percent_interacting,percent_gazing_lev,percent_gazing_mag,percent_interacting_lev,percent_interacting_mag,time_wait_before_cue_both,time_wait_before_cue_rat0,time_wait_before_cue_rat1,distance_vs_wait_valid,time_wait_to_press_one,dist_furthest_from_lever,avg_horizontal_distance,avg_distance
041624_KL001_TimeOut_TrNum10,1,2024-04-16,KL001B-KL001Y,Training Partner,transparent,10.01,10.92,12.55,13.51,,True,0.0,0,350,True,0.7142857142857143,0.7142857142857143,0.0,0.004285714285714286,0.0,0.31857142857142856,0.13,0.0,0.0,0.0,False,,873.8261184529001,751.3191759228777,808.7030500016289
041624_KL001_TimeOut_TrNum10,2,2024-04-16,KL001B-KL001Y,Training Partner,transparent,21.67,22.45,22.45,,,False,0.0,0,328,True,1.676829268292683,0.0,4.878048780487805,0.0,0.0,0.15853658536585366,0.08384146341463415,0.0,0.0,148.0,True,0.7799999999999976,439.25060385889725,706.9327712963204,717.4428568628576
041624_KL001_TimeOut_TrNum10,3,2024-04-16,KL001B-KL001Y,Training Partner,transparent,32.6,33.38,34.79,,,False,0.0,0,277,True,0.0,0.0,0.0,0.01263537906137184,0.0,0.2364620938628159,0.09566787003610108,0.0,0.0,114.0,True,0.7800000000000011,475.7340388691118,187.5465559530395,344.70693835842116
041624_KL001_TimeOut_TrNum10,4,2024-04-16,KL001B-KL001Y,Training Partner,transparent,41.83,42.49,42.53,44.73,,True,1.0,1,308,True,1.1363636363636365,1.1363636363636365,0.0,0.0,0.0,0.26461038961038963,0.08766233766233766,0.599920292721519,39.0,18.0,True,0.6600000000000037,137.00745960334913,137.7294404116848,294.83263733748026
041624_KL001_TimeOut_TrNum10,5,2024-04-16,KL001B-KL001Y,Training Partner,transparent,52.12,52.75,52.8,,,False,2.0,1,293,True,0.0,0.0,0.0,0.0,0.005119453924914676,0.2440273037542662,0.10238907849829351,0.866551533931083,26.0,79.0,True,0.6300000000000026,144.9816360519946,91.43202449030437,303.8647903321108
041624_KL001_TimeOut_TrNum10,6,2024-04-16,KL001B-KL001Y,Training Partner,transparent,61.87,62.49,62.54,64.76,,True,3.0,1,396,True,1.7676767676767675,1.7676767676767675,0.0,0.0,0.0,0.380050505050505,0.06439393939393939,2.2330366451300985,67.0,97.0,True,0.6200000000000045,144.92803671336415,56.0330109698893,268.7472488697087
041624_KL001_TimeOut_TrNum10,7,2024-04-16,KL001B-KL001Y,Training Partner,transparent,75.09,75.72,76.05,,,False,4.0,1,403,True,0.0,0.0,0.0,0.0012406947890818859,0.0,0.33126550868486354,0.10173697270471464,0.0,0.0,236.0,True,0.6299999999999955,290.5389359662098,300.10745134736493,429.67194744048254
041624_KL001_TimeOut_TrNum10,8,2024-04-16,KL001B-KL001Y,Training Partner,transparent,88.51,89.17,89.19,91.43,,True,5.0,1,294,True,0.0,0.0,0.0,0.0,0.0,0.27721088435374147,0.08673469387755102,2.66631241209564,80.0,206.0,True,0.6599999999999966,127.06232348835388,65.61833086170142,278.1721105658194
041624_KL001_TimeOut_TrNum10,9,2024-04-16,KL001B-KL001Y,Training Partner,transparent,98.31,98.74,99.7,,,False,6.0,1,312,True,0.0,0.0,0.0,0.0,0.0,0.30288461538461536,0.06570512820512821,2.999601463607595,90.0,111.0,True,0.4299999999999926,125.61660826008621,409.0788490573847,497.7846244758619
041624_KL001_TimeOut_TrNum10,10,2024-04-16,KL001B-KL001Y,Training Partner,transparent,108.71,109.38,109.4,111.69,,True,7.0,1,362,True,0.0,0.0,0.0,0.0,0.0,0.44613259668508287,0.06767955801104972,0.1666445257559775,5.0,39.0,True,0.6700000000000017,163.55951111610491,91.32244155896652,274.6965352329736
041624_KL001_TimeOut_TrNum10,11,2024-04-16,KL001B-KL001Y,Training Partner,transparent,120.77,121.42,121.52,124.82,,True,8.0,1,380,True,0.0,0.0,0.0,0.0,0.0,0.35526315789473684,0.08026315789473684,5.199309203586498,156.0,168.0,True,0.6500000000000057,144.86607602927916,83.22927924241893,290.5902796315698
041624_KL001_TimeOut_TrNum10,12,2024-04-16,KL001B-KL001Y,Training Partner,transparent,133.43,134.08,134.11,,,False,9.0,1,407,True,0.0,0.0,0.0,0.0,0.0,0.32800982800982803,0.08722358722358722,4.866020152074543,146.0,165.0,True,0.6500000000000057,129.42335476752132,185.09021065250522,365.6403836845157
041624_KL001_TimeOut_TrNum10,13,2024-04-16,KL001B-KL001Y,Training Partner,transparent,147.01,147.65,147.67,,,False,10.0,1,357,True,0.0,0.0,0.0,0.0014005602240896359,0.0,0.36694677871148457,0.09103641456582633,4.332757669655415,130.0,218.0,True,0.6400000000000148,119.61756391669662,216.35035471556722,400.172541538511
