vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
040124_COOPTRAIN_LARGEARENA_KL005B-KL005Y_Camera1,040124,multi,train,True,L005Y_Camera1,0.1234566933454576,0.1303417027914742,True,0.0022603808194909,True,True,coop,TP,False,transparent
040124_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040124,multi,train,True,L002Y_Camera2,0.1381167916680313,0.1417004552451446,True,0.0022392165853339,True,True,coop,TP,False,transparent
040124_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040124,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040124_COOPTRAIN_LARGEARENA_KL003G-KL003B_Camera3,040124,multi,train,False,L003B_Camera3,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040124_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040124,multi,train,True,L006G_Camera2,0.1373198135629842,0.1402429237275056,True,0.0026742445288143,True,True,coop,TP,False,transparent
040124_COOPTRAIN_LARGEARENA_KL004R-KL004G_Camera4,040124,multi,train,True,L004G_Camera4,0.152368711941343,0.1553368783888965,True,0.003549307013585,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040224,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040224,multi,train,True,L002Y_Camera2,0.0673203563317328,0.070061289887687,True,0.0028705652981011,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL004R-KL004G_Camera4,040224,multi,train,True,L004G_Camera4,0.1441683398604457,0.1478659324493569,True,0.0031509055125936,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL003G-KL003B_Camera3,040224,multi,train,False,L003B_Camera3,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL005B-KL005Y_Camera1,040224,multi,train,True,L005Y_Camera1,0.1413429978118162,0.1475785171836787,True,0.0038775904234779,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040224,multi,train,True,L006G_Camera2,0.0781676136363636,0.0805614973262032,True,0.0006580046791443,True,True,coop,TP,False,transparent
040224_COOPTRAIN_LARGEARENA_KL001B-KL001Y_Camera1,040224,multi,train,True,L001Y_Camera1,0.1889524843877274,0.19133641053489,True,0.009945696443117,True,True,coop,TP,False,transparent
040324_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040324,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040324_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040324,multi,train,True,L006G_Camera2,0.0990779168220665,0.1021433275934581,True,0.001762829414612,True,True,coop,TP,False,transparent
040324_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040324,multi,train,True,L002Y_Camera2,0.1144409958842183,0.1171655084002429,True,0.0028250455434855,True,True,coop,TP,False,transparent
040324_COOPTRAIN_LARGEARENA_KL004R-KL004G_Camera4,040324,multi,train,True,L004G_Camera4,0.0833752689951994,0.0856828339678861,True,0.0012328256911107,True,True,coop,TP,False,transparent
040324_COOPTRAIN_LARGEARENA_KL003G-KL003B_Camera3,040324,multi,train,False,L003B_Camera3,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040324_COOPTRAIN_LARGEARENA_KL005B-KL005Y_Camera1,040324,multi,train,True,L005Y_Camera1,0.0772326336512157,0.0804523645164864,True,0.0010699767340781,True,True,coop,TP,False,transparent
040424_COOPTRAIN_LARGEARENA_KL005B-KL005Y_Camera1,040424,multi,train,True,L005Y_Camera1,0.0620448737698678,0.065115899740834,True,0.0003982637693241,True,True,coop,TP,False,transparent
040424_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040424,multi,train,True,L006G_Camera2,0.0914135102223931,0.0936021918861757,True,0.0017829103377555,True,True,coop,TP,False,transparent
040424_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040424,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040524_COOPTRAIN_LARGEARENA_KL005B-KL005Y_Camera1,040524,multi,train,True,L005Y_Camera1,0.1136036379747458,0.1191455189898343,True,0.0024774164964186,True,True,coop,TP,False,transparent
040524_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040524,multi,train,True,L006G_Camera2,0.1365668245279537,0.1402361768866473,True,0.0045085798634602,True,True,coop,TP,False,transparent
040524_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040524,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040524_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040524,multi,train,True,L002Y_Camera2,0.0359377119448739,0.0371205338976153,True,0.0004286373131493,True,True,coop,TP,False,transparent
040524_COOPTRAIN_LARGEARENA_KL001B-KL001Y_Camera1,040524,multi,train,True,L001Y_Camera1,0.0919978321251947,0.0940532484249034,True,0.0033717227830092,True,True,coop,TP,False,transparent
040724_COOPTRAIN_LARGEARENA_KL003G-KL003B_Camera3,040724,multi,train,False,L003B_Camera3,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040724_COOPTRAIN_LARGEARENA_KL001B-KL001Y_Camera1,040724,multi,train,True,L001Y_Camera1,0.0943821542732578,0.095716478166942,True,0.0014750877330179,True,True,coop,TP,False,transparent
040724_COOPTRAIN_LARGEARENA_KL004R-KL004G_Camera4,040724,multi,train,True,L004G_Camera4,0.1867934878435828,0.1972160727229982,True,0.0035190917461747,True,True,coop,TP,False,transparent
040724_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040724,multi,train,True,L002Y_Camera2,0.0799680836482543,0.0842748330755223,True,0.0018156096414795,True,True,coop,TP,False,transparent
040824_COOPTRAIN_LARGEARENA_KL001B-KL001Y_Camera1,040824,multi,train,True,L001Y_Camera1,0.0575819373634377,0.0582069787459445,True,0.0010984572601469,True,True,coop,TP,False,transparent
040824_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040824,multi,train,True,L006G_Camera2,0.1859945676204914,0.1938614111553281,True,0.0035032531109847,True,True,coop,TP,False,transparent
040824_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040824,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
