vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
043024_Cam3_TrNum7_Coop_KL002B-KL002Y,043024_KL002_TimeOut_Translucent,multi,test,True,KL002B-KL002Y,0.0230881601051785,0.0240011686509385,True,8.764882039295887e-05,True,True,coop,TP,False,translucent
043024_Cam3_TrNum5_Coop_KL002B-KL002Y,043024_KL002_TimeOut_Translucent,multi,test,True,KL002B-KL002Y,0.0283636624158188,0.0293021922911591,True,0.000139704828772,True,True,coop,TP,False,translucent
043024_Cam1_TrNum8_Coop_KL003G-KL003B,043024_KL003_TimeOut_Translucent,multi,test,False,KL003G-KL003B,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,translucent
043024_Cam1_TrNum10_Coop_KL003G-KL003B,043024_KL003_TimeOut_Translucent,multi,test,False,KL003G-KL003B,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,translucent
050124_Cam3_TrNum7_Coop_KL006G-KL006R,050124_KL006_TimeOut_Translucent,multi,test,True,KL006G-KL006R,0.0806368450390189,0.0822742474916388,True,0.0014527591973244,True,True,coop,TP,False,translucent
050124_Cam3_TrNum5_Coop_KL006G-KL006R,050124_KL006_TimeOut_Translucent,multi,test,True,KL006G-KL006R,0.0771304797620587,0.0783007888271046,True,0.0023050562524246,True,True,coop,TP,False,translucent
050524_Cam4_TrNum5_Coop_KL005Y-KL005B,050524_KL005_TimeOut_Translucent,multi,test,True,KL005Y-KL005B,0.0656007722706567,0.067851217231289,True,0.0004178104920208,True,True,coop,TP,False,translucent
050524_Cam4_TrNum8_Coop_KL005Y-KL005B,050524_KL005_TimeOut_Translucent,multi,test,True,KL005Y-KL005B,0.0702725566394374,0.0737330478229835,True,0.0009768155021545,True,True,coop,TP,False,translucent
050524_Cam1_TrNum12_Coop_KL008B-KL008G,050524_KL008_TimeOut_Translucent,multi,test,False,KL008B-KL008G,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,translucent
050524_Cam1_TrNum5_Coop_KL008B-KL008G,050524_KL008_TimeOut_Translucent,multi,test,False,KL008B-KL008G,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,translucent
