vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers,mice_pair
041024_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041024,multi,train,True,B003B_Camera1,0.1131587579522196,0.1154188746540755,True,0.0020434374841186,True,True,coop,TP,False,transparent,EB001R-EB003B
041824_COOPTRAIN_LARGEARENA_EB003B-EB019Y_Camera2,041824,multi,train,True,B019Y_Camera2,0.1753567862407195,0.1849691272067763,True,0.0027975709327047,True,True,coop,TP,False,transparent,EB003B-EB019Y
040924_COOPTRAIN_LARGEARENA_EB005Y-EB007R_Camera1,040924,multi,train,True,B007R_Camera1,0.2557927618202654,0.2757797000727022,True,0.0051036314122706,True,True,coop,TP,False,transparent,EB005Y-EB007R
041024_COOPTRAIN_LARGEARENA_EB009B-EB019Y_Camera2,041024,multi,train,True,B019Y_Camera2,0.1223668655448214,0.1299111513382714,True,0.0023394351367826,True,True,coop,TP,False,transparent,EB009B-EB019Y
041924_COOPTRAIN_LARGEARENA_EB009B-EB033Y_Camera3,041924,multi,train,True,B033Y_Camera3,0.1305438694658018,0.136537279201984,True,0.0034377827976153,True,True,coop,TP,False,transparent,EB009B-EB033Y
040924_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,040924,multi,train,True,B015R_Camera2,0.1376615392182178,0.1460695709911837,True,0.0016633467360163,True,True,coop,TP,False,transparent,EB011Y-EB015R
040924_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,040924,multi,train,True,B023B_Camera3,0.1030071995569503,0.10434742477386,True,0.0014623715463663,True,True,coop,TP,False,transparent,EB021R-EB023B
040924_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera4,040924,multi,train,True,B029R_Camera4,0.1721641106466289,0.185982626041237,True,0.0041313944110277,True,True,coop,TP,False,transparent,EB027Y-EB029R
041024_COOPTRAIN_LARGEARENA_EB031B-EB033Y_Camera3,041024,multi,train,True,B033Y_Camera3,0.2230523113342765,0.2380813012640904,True,0.0131529669598024,True,True,coop,TP,False,transparent,EB031B-EB033Y
040124_COOPTRAIN_LARGEARENA_KL001B-KL001Y_Camera1,040124,multi,train,True,L001Y_Camera1,0.2008064885671081,0.2077964925602738,True,0.0078842112842937,True,True,coop,TP,False,transparent,KL001B-KL001Y
040124_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040124,multi,train,True,L002Y_Camera2,0.1381167916680313,0.1417004552451446,True,0.0022392165853339,True,True,coop,TP,False,transparent,KL002B-KL002Y
040124_COOPTRAIN_LARGEARENA_KL004R-KL004G_Camera4,040124,multi,train,True,L004G_Camera4,0.152368711941343,0.1553368783888965,True,0.003549307013585,True,True,coop,TP,False,transparent,KL004G-KL004R
040124_COOPTRAIN_LARGEARENA_KL005B-KL005Y_Camera1,040124,multi,train,True,L005Y_Camera1,0.1234566933454576,0.1303417027914742,True,0.0022603808194909,True,True,coop,TP,False,transparent,KL005B-KL005Y
040124_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040124,multi,train,True,L006G_Camera2,0.1373198135629842,0.1402429237275056,True,0.0026742445288143,True,True,coop,TP,False,transparent,KL006G-KL006R
