vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers,mice_pair
050824_Cam2_TrNum9_Coop_EB001R-EB031B,050824_EB001R-031B-027Y_TimeOut_CNO,multi,test,True,EB001R-EB031B,0.0909999528546508,0.0913629720428079,True,0.0014685776248173,True,True,coop,TP,False,transparent,EB001R-EB031B
050824_Cam3_TrNum10_Coop_EB007R-EB005Y,050824_EB007R-005Y-003B_TimeOut_CNO,multi,test,True,EB007R-EB005Y,0.1633638634471274,0.1714078847337364,True,0.0024508561705824,True,True,coop,TP,False,transparent,EB005Y-EB007R
050824_Cam1_TrNum7_Coop_EB015R-EB011Y,050824_EB015R-011Y-009B_TimeOut_CNO,multi,test,True,EB015R-EB011Y,0.1421271333168439,0.149027949542419,True,0.0024857778877071,True,True,coop,TP,False,transparent,EB011Y-EB015R
050824_Cam4_TrNum8_Coop_EB021R-EB023B,050824_EB021R-023B-019Y_TimeOut_CNO,multi,test,True,EB021R-EB023B,0.0560903810963481,0.0569536160394621,True,0.000447529636407,True,True,coop,TP,False,transparent,EB021R-EB023B
052024_Cam2_TrNum7_Coop_EB027Y-EB029R,052024_EB027Y-029R-EB023B_TimeOut_VEH_BAD,multi,test,True,EB027Y-EB029R,0.2169660902762182,0.2311273298899618,True,0.0037693689647428,True,True,coop,TP,False,transparent,EB027Y-EB029R
101724_Cam2_TrNum4_Coop_HF004Y-HF003B,101724_FiberPho_HF004Y_HF001R_TimeOut,multi,test,True,HF004Y-HF003B,0.2741675538749587,0.293997577003561,True,0.0077076985205036,True,True,coop,TP,True,transparent,HF003B-HF004Y
041624_Cam4_TrNum10_Coop_KL001B-KL001Y,041624_KL001_TimeOut,multi,test,True,KL001B-KL001Y,0.0144580696202531,0.0151173523206751,True,0.0,True,True,coop,TP,False,transparent,KL001B-KL001Y
041624_Cam3_TrNum7_Coop_KL002B-KL002Y,041624_KL002_TimeOut,multi,test,True,KL002B-KL002Y,0.0411641882257078,0.0420706864941943,True,0.0007129761662253,True,True,coop,TP,False,transparent,KL002B-KL002Y
042624_Cam4_TrNum7_Coop_KL004G-KL004R,042624_KL004_TimeOut,multi,test,True,KL004G-KL004R,0.0706012892317446,0.0740727042164218,True,0.0006789601606255,True,True,coop,TP,False,transparent,KL004G-KL004R
041824_Cam4_TrNum5_Coop_KL005Y-KL005B,041824_KL005_TimeOut,multi,test,True,KL005Y-KL005B,0.0749164895232311,0.0793467624928299,True,0.0005297432263724,True,True,coop,TP,False,transparent,KL005B-KL005Y
042224_Cam4_TrNum5_Coop_KL006G-KL006R,042224_KL006_TimeOut,multi,test,True,KL006G-KL006R,0.1319755958390027,0.1367664486678663,True,0.0021792564631523,True,True,coop,TP,False,transparent,KL006G-KL006R
041824_Cam3_TrNum5_Coop_KL007Y-KL007G,041824_KL007_TimeOut,multi,test,True,KL007Y-KL007G,0.2927765864506393,0.3496187753157017,True,0.005204114049718,True,True,coop,TP,False,transparent,KL007G-KL007Y
